日期,产品名,品类,单价,销量,天气,是否周末,门店
2025-05-02,吐司,小吃,8,6,雨,否,望京店
2025-05-02,经典奶茶,奶茶,12,10,雨,否,中关村店
2025-05-02,珍珠奶茶,奶茶,15,13,雨,否,中关村店
2025-05-02,芋泥奶茶,奶茶,18,13,雨,否,中关村店
2025-05-02,黑糖鹿丸奶茶,奶茶,20,20,雨,否,中关村店
2025-05-02,椰椰奶茶,奶茶,19,18,雨,否,中关村店
2025-05-02,柠檬绿茶,果茶,10,12,雨,否,中关村店
2025-05-02,满杯西柚,果茶,16,8,雨,否,中关村店
2025-05-02,杨枝甘露,果茶,22,12,雨,否,中关村店
2025-05-02,百香果绿茶,果茶,13,17,雨,否,中关村店
2025-05-02,霸气芝士葡萄,果茶,24,12,雨,否,中关村店
2025-05-02,美式咖啡,咖啡,15,10,雨,否,中关村店
2025-05-02,拿铁,咖啡,18,10,雨,否,中关村店
2025-05-02,生椰拿铁,咖啡,22,5,雨,否,中关村店
2025-05-02,摩卡,咖啡,20,6,雨,否,中关村店
2025-05-02,薯条,小吃,10,3,雨,否,中关村店
2025-05-02,鸡米花,小吃,12,5,雨,否,中关村店
2025-05-02,吐司,小吃,8,6,雨,否,中关村店
2025-05-03,经典奶茶,奶茶,12,26,雨,是,望京店
2025-05-03,珍珠奶茶,奶茶,15,14,雨,是,望京店
2025-05-03,芋泥奶茶,奶茶,18,25,雨,是,望京店
2025-05-03,黑糖鹿丸奶茶,奶茶,20,27,雨,是,望京店
2025-05-03,椰椰奶茶,奶茶,19,21,雨,是,望京店
2025-05-03,柠檬绿茶,果茶,10,11,雨,是,望京店
2025-05-03,满杯西柚,果茶,16,13,雨,是,望京店
2025-05-03,杨枝甘露,果茶,22,27,雨,是,望京店
2025-05-03,百香果绿茶,果茶,13,19,雨,是,望京店
2025-05-03,霸气芝士葡萄,果茶,24,15,雨,是,望京店
2025-05-03,美式咖啡,咖啡,15,10,雨,是,望京店
2025-05-03,拿铁,咖啡,18,9,雨,是,望京店
2025-05-03,生椰拿铁,咖啡,22,9,雨,是,望京店
2025-05-03,摩卡,咖啡,20,15,雨,是,望京店
2025-05-03,薯条,小吃,10,14,雨,是,望京店
2025-05-03,鸡米花,小吃,12,6,雨,是,望京店
2025-05-03,华夫饼,小吃,15,8,雨,是,望京店
2025-05-03,吐司,小吃,8,12,雨,是,望京店
2025-05-03,经典奶茶,奶茶,12,30,雨,是,中关村店
2025-05-03,珍珠奶茶,奶茶,15,26,雨,是,中关村店
2025-05-03,芋泥奶茶,奶茶,18,14,雨,是,中关村店
2025-05-03,黑糖鹿丸奶茶,奶茶,20,18,雨,是,中关村店
2025-05-03,椰椰奶茶,奶茶,19,22,雨,是,中关村店
2025-05-03,柠檬绿茶,果茶,10,17,雨,是,中关村店
2025-05-03,满杯西柚,果茶,16,5,雨,是,中关村店
2025-05-03,杨枝甘露,果茶,22,20,雨,是,中关村店
2025-05-03,百香果绿茶,果茶,13,13,雨,是,中关村店
2025-05-03,霸气芝士葡萄,果茶,24,6,雨,是,中关村店
2025-05-03,美式咖啡,咖啡,15,10,雨,是,中关村店
2025-05-03,拿铁,咖啡,18,8,雨,是,中关村店
2025-05-03,生椰拿铁,咖啡,22,15,雨,是,中关村店
2025-05-03,摩卡,咖啡,20,9,雨,是,中关村店
2025-05-03,薯条,小吃,10,13,雨,是,中关村店
2025-05-03,鸡米花,小吃,12,2,雨,是,中关村店
2025-05-03,华夫饼,小吃,15,12,雨,是,中关村店
2025-05-03,吐司,小吃,8,8,雨,是,中关村店
2025-05-04,经典奶茶,奶茶,12,47,晴,是,望京店
2025-05-04,珍珠奶茶,奶茶,15,30,晴,是,望京店
2025-05-04,芋泥奶茶,奶茶,18,31,晴,是,望京店
2025-05-04,黑糖鹿丸奶茶,奶茶,20,33,晴,是,望京店
2025-05-04,椰椰奶茶,奶茶,19,48,晴,是,望京店
2025-05-04,柠檬绿茶,果茶,10,34,晴,是,望京店
2025-05-04,满杯西柚,果茶,16,30,晴,是,望京店
2025-05-04,杨枝甘露,果茶,22,21,晴,是,望京店
2025-05-04,百香果绿茶,果茶,13,15,晴,是,望京店
2025-05-04,霸气芝士葡萄,果茶,24,15,晴,是,望京店
2025-05-04,美式咖啡,咖啡,15,20,晴,是,望京店
2025-05-04,拿铁,咖啡,18,21,晴,是,望京店
2025-05-04,生椰拿铁,咖啡,22,8,晴,是,望京店
2025-05-04,摩卡,咖啡,20,28,晴,是,望京店
2025-05-04,薯条,小吃,10,5,晴,是,望京店
2025-05-04,鸡米花,小吃,12,5,晴,是,望京店
2025-05-04,华夫饼,小吃,15,11,晴,是,望京店
2025-05-04,吐司,小吃,8,16,晴,是,望京店
2025-05-04,经典奶茶,奶茶,12,32,晴,是,中关村店
2025-05-04,珍珠奶茶,奶茶,15,37,晴,是,中关村店
2025-05-04,芋泥奶茶,奶茶,18,39,晴,是,中关村店
2025-05-04,黑糖鹿丸奶茶,奶茶,20,44,晴,是,中关村店
2025-05-04,椰椰奶茶,奶茶,19,37,晴,是,中关村店
2025-05-04,柠檬绿茶,果茶,10,36,晴,是,中关村店
2025-05-04,满杯西柚,果茶,16,28,晴,是,中关村店
2025-05-04,杨枝甘露,果茶,22,14,晴,是,中关村店
2025-05-04,百香果绿茶,果茶,13,29,晴,是,中关村店
2025-05-04,霸气芝士葡萄,果茶,24,30,晴,是,中关村店
2025-05-04,美式咖啡,咖啡,15,22,晴,是,中关村店
2025-05-04,拿铁,咖啡,18,21,晴,是,中关村店
2025-05-04,生椰拿铁,咖啡,22,25,晴,是,中关村店
2025-05-04,摩卡,咖啡,20,20,晴,是,中关村店
2025-05-04,薯条,小吃,10,6,晴,是,中关村店
2025-05-04,鸡米花,小吃,12,16,晴,是,中关村店
2025-05-04,华夫饼,小吃,15,5,晴,是,中关村店
2025-05-04,吐司,小吃,8,8,晴,是,中关村店
2025-05-05,经典奶茶,奶茶,12,17,阴,否,望京店
2025-05-05,珍珠奶茶,奶茶,15,17,阴,否,望京店
2025-05-05,芋泥奶茶,奶茶,18,24,阴,否,望京店
2025-05-05,黑糖鹿丸奶茶,奶茶,20,15,阴,否,望京店
2025-05-05,椰椰奶茶,奶茶,19,25,阴,否,望京店
2025-05-05,柠檬绿茶,果茶,10,11,阴,否,望京店
2025-05-05,满杯西柚,果茶,16,27,阴,否,望京店
2025-05-05,杨枝甘露,果茶,22,6,阴,否,望京店
2025-05-05,百香果绿茶,果茶,13,13,阴,否,望京店
2025-05-05,霸气芝士葡萄,果茶,24,20,阴,否,望京店
2025-05-05,美式咖啡,咖啡,15,11,阴,否,望京店
2025-05-05,拿铁,咖啡,18,9,阴,否,望京店
2025-05-05,生椰拿铁,咖啡,22,9,阴,否,望京店
2025-05-05,摩卡,咖啡,20,7,阴,否,望京店
2025-05-05,薯条,小吃,10,11,阴,否,望京店
2025-05-05,鸡米花,小吃,12,9,阴,否,望京店
2025-05-05,华夫饼,小吃,15,11,阴,否,望京店
2025-05-05,吐司,小吃,8,13,阴,否,望京店
2025-05-05,经典奶茶,奶茶,12,23,阴,否,中关村店
2025-05-05,珍珠奶茶,奶茶,15,16,阴,否,中关村店
2025-05-05,芋泥奶茶,奶茶,18,14,阴,否,中关村店
2025-05-05,黑糖鹿丸奶茶,奶茶,20,29,阴,否,中关村店
2025-05-05,椰椰奶茶,奶茶,19,23,阴,否,中关村店
2025-05-05,柠檬绿茶,果茶,10,14,阴,否,中关村店
2025-05-05,满杯西柚,果茶,16,9,阴,否,中关村店
2025-05-05,杨枝甘露,果茶,22,21,阴,否,中关村店
2025-05-05,百香果绿茶,果茶,13,19,阴,否,中关村店
2025-05-05,霸气芝士葡萄,果茶,24,9,阴,否,中关村店
2025-05-05,美式咖啡,咖啡,15,10,阴,否,中关村店
2025-05-05,拿铁,咖啡,18,5,阴,否,中关村店
2025-05-05,生椰拿铁,咖啡,22,11,阴,否,中关村店
2025-05-05,摩卡,咖啡,20,18,阴,否,中关村店
2025-05-05,薯条,小吃,10,6,阴,否,中关村店
2025-05-05,鸡米花,小吃,12,5,阴,否,中关村店
2025-05-05,华夫饼,小吃,15,7,阴,否,中关村店
2025-05-05,吐司,小吃,8,8,阴,否,中关村店
2025-05-06,经典奶茶,奶茶,12,27,阴,否,望京店
2025-05-06,珍珠奶茶,奶茶,15,30,阴,否,望京店
2025-05-06,芋泥奶茶,奶茶,18,26,阴,否,望京店
2025-05-06,黑糖鹿丸奶茶,奶茶,20,18,阴,否,望京店
2025-05-06,椰椰奶茶,奶茶,19,20,阴,否,望京店
2025-05-06,柠檬绿茶,果茶,10,16,阴,否,望京店
2025-05-06,满杯西柚,果茶,16,14,阴,否,望京店
2025-05-06,杨枝甘露,果茶,22,17,阴,否,望京店
2025-05-06,百香果绿茶,果茶,13,21,阴,否,望京店
2025-05-06,霸气芝士葡萄,果茶,24,7,阴,否,望京店
2025-05-06,美式咖啡,咖啡,15,14,阴,否,望京店
2025-05-06,拿铁,咖啡,18,12,阴,否,望京店
2025-05-06,生椰拿铁,咖啡,22,9,阴,否,望京店
2025-05-06,摩卡,咖啡,20,10,阴,否,望京店
2025-05-06,薯条,小吃,10,6,阴,否,望京店
2025-05-06,鸡米花,小吃,12,6,阴,否,望京店
2025-05-06,华夫饼,小吃,15,6,阴,否,望京店
2025-05-06,吐司,小吃,8,6,阴,否,望京店
2025-05-06,经典奶茶,奶茶,12,27,阴,否,中关村店
2025-05-06,珍珠奶茶,奶茶,15,28,阴,否,中关村店
2025-05-06,芋泥奶茶,奶茶,18,20,阴,否,中关村店
2025-05-06,黑糖鹿丸奶茶,奶茶,20,30,阴,否,中关村店
2025-05-06,椰椰奶茶,奶茶,19,14,阴,否,中关村店
2025-05-06,柠檬绿茶,果茶,10,21,阴,否,中关村店
2025-05-06,满杯西柚,果茶,16,8,阴,否,中关村店
2025-05-06,杨枝甘露,果茶,22,12,阴,否,中关村店
2025-05-06,百香果绿茶,果茶,13,12,阴,否,中关村店
2025-05-06,霸气芝士葡萄,果茶,24,20,阴,否,中关村店
2025-05-06,美式咖啡,咖啡,15,8,阴,否,中关村店
2025-05-06,拿铁,咖啡,18,12,阴,否,中关村店
2025-05-06,生椰拿铁,咖啡,22,15,阴,否,中关村店
2025-05-06,摩卡,咖啡,20,10,阴,否,中关村店
2025-05-06,薯条,小吃,10,15,阴,否,中关村店
2025-05-06,鸡米花,小吃,12,8,阴,否,中关村店
2025-05-06,华夫饼,小吃,15,8,阴,否,中关村店
2025-05-07,经典奶茶,奶茶,12,17,阴,否,望京店
2025-05-07,珍珠奶茶,奶茶,15,12,阴,否,望京店
2025-05-07,芋泥奶茶,奶茶,18,19,阴,否,望京店
2025-05-07,黑糖鹿丸奶茶,奶茶,20,18,阴,否,望京店
2025-05-07,椰椰奶茶,奶茶,19,27,阴,否,望京店
2025-05-07,柠檬绿茶,果茶,10,21,阴,否,望京店
2025-05-07,满杯西柚,果茶,16,6,阴,否,望京店
2025-05-07,杨枝甘露,果茶,22,12,阴,否,望京店
2025-05-07,百香果绿茶,果茶,13,13,阴,否,望京店
2025-05-07,霸气芝士葡萄,果茶,24,12,阴,否,望京店
2025-05-07,美式咖啡,咖啡,15,12,阴,否,望京店
2025-05-07,拿铁,咖啡,18,12,阴,否,望京店
2025-05-07,生椰拿铁,咖啡,22,10,阴,否,望京店
2025-05-07,摩卡,咖啡,20,6,阴,否,望京店
2025-05-07,薯条,小吃,10,12,阴,否,望京店
2025-05-07,鸡米花,小吃,12,3,阴,否,望京店
2025-05-07,华夫饼,小吃,15,9,阴,否,望京店
2025-05-07,吐司,小吃,8,9,阴,否,望京店
2025-05-07,经典奶茶,奶茶,12,14,阴,否,中关村店
2025-05-07,珍珠奶茶,奶茶,15,29,阴,否,中关村店
2025-05-07,芋泥奶茶,奶茶,18,24,阴,否,中关村店
2025-05-07,黑糖鹿丸奶茶,奶茶,20,14,阴,否,中关村店
2025-05-07,椰椰奶茶,奶茶,19,20,阴,否,中关村店
2025-05-07,柠檬绿茶,果茶,10,12,阴,否,中关村店
2025-05-07,满杯西柚,果茶,16,6,阴,否,中关村店
2025-05-07,杨枝甘露,果茶,22,20,阴,否,中关村店
2025-05-07,百香果绿茶,果茶,13,22,阴,否,中关村店
2025-05-07,霸气芝士葡萄,果茶,24,13,阴,否,中关村店
2025-05-07,美式咖啡,咖啡,15,11,阴,否,中关村店
2025-05-07,拿铁,咖啡,18,13,阴,否,中关村店
2025-05-07,生椰拿铁,咖啡,22,14,阴,否,中关村店
2025-05-07,摩卡,咖啡,20,9,阴,否,中关村店
2025-05-07,薯条,小吃,10,7,阴,否,中关村店
2025-05-07,鸡米花,小吃,12,9,阴,否,中关村店
2025-05-07,华夫饼,小吃,15,8,阴,否,中关村店
2025-05-07,吐司,小吃,8,10,阴,否,中关村店
2025-05-08,经典奶茶,奶茶,12,12,雨,否,望京店
2025-05-08,珍珠奶茶,奶茶,15,11,雨,否,望京店
2025-05-08,芋泥奶茶,奶茶,18,13,雨,否,望京店
2025-05-08,黑糖鹿丸奶茶,奶茶,20,15,雨,否,望京店
2025-05-08,椰椰奶茶,奶茶,19,14,雨,否,望京店
2025-05-08,柠檬绿茶,果茶,10,10,雨,否,望京店
2025-05-08,满杯西柚,果茶,16,16,雨,否,望京店
2025-05-08,杨枝甘露,果茶,22,16,雨,否,望京店
2025-05-08,百香果绿茶,果茶,13,3,雨,否,望京店
2025-05-08,霸气芝士葡萄,果茶,24,9,雨,否,望京店
2025-05-08,美式咖啡,咖啡,15,10,雨,否,望京店
2025-05-08,拿铁,咖啡,18,2,雨,否,望京店
2025-05-08,生椰拿铁,咖啡,22,11,雨,否,望京店
2025-05-08,摩卡,咖啡,20,10,雨,否,望京店
2025-05-08,薯条,小吃,10,6,雨,否,望京店
2025-05-08,鸡米花,小吃,12,10,雨,否,望京店
2025-05-08,华夫饼,小吃,15,3,雨,否,望京店
2025-05-08,吐司,小吃,8,7,雨,否,望京店
2025-05-08,经典奶茶,奶茶,12,10,雨,否,中关村店
2025-05-08,珍珠奶茶,奶茶,15,14,雨,否,中关村店
2025-05-08,芋泥奶茶,奶茶,18,22,雨,否,中关村店
2025-05-08,黑糖鹿丸奶茶,奶茶,20,21,雨,否,中关村店
2025-05-08,椰椰奶茶,奶茶,19,11,雨,否,中关村店
2025-05-08,柠檬绿茶,果茶,10,10,雨,否,中关村店
2025-05-08,满杯西柚,果茶,16,13,雨,否,中关村店
2025-05-08,杨枝甘露,果茶,22,14,雨,否,中关村店
2025-05-08,百香果绿茶,果茶,13,9,雨,否,中关村店
2025-05-08,霸气芝士葡萄,果茶,24,12,雨,否,中关村店
2025-05-08,美式咖啡,咖啡,15,8,雨,否,中关村店
2025-05-08,拿铁,咖啡,18,7,雨,否,中关村店
2025-05-08,生椰拿铁,咖啡,22,10,雨,否,中关村店
2025-05-08,摩卡,咖啡,20,7,雨,否,中关村店
2025-05-08,薯条,小吃,10,1,雨,否,中关村店
2025-05-08,鸡米花,小吃,12,8,雨,否,中关村店
2025-05-08,华夫饼,小吃,15,8,雨,否,中关村店
2025-05-08,吐司,小吃,8,4,雨,否,中关村店
2025-05-09,经典奶茶,奶茶,12,25,阴,否,望京店
2025-05-09,珍珠奶茶,奶茶,15,12,阴,否,望京店
2025-05-09,芋泥奶茶,奶茶,18,19,阴,否,望京店
2025-05-09,黑糖鹿丸奶茶,奶茶,20,28,阴,否,望京店
2025-05-09,椰椰奶茶,奶茶,19,30,阴,否,望京店
2025-05-09,柠檬绿茶,果茶,10,18,阴,否,望京店
2025-05-09,满杯西柚,果茶,16,21,阴,否,望京店
2025-05-09,杨枝甘露,果茶,22,15,阴,否,望京店
2025-05-09,百香果绿茶,果茶,13,25,阴,否,望京店
2025-05-09,霸气芝士葡萄,果茶,24,15,阴,否,望京店
2025-05-09,美式咖啡,咖啡,15,7,阴,否,望京店
2025-05-09,拿铁,咖啡,18,16,阴,否,望京店
2025-05-09,生椰拿铁,咖啡,22,17,阴,否,望京店
2025-05-09,摩卡,咖啡,20,8,阴,否,望京店
2025-05-09,薯条,小吃,10,9,阴,否,望京店
2025-05-09,鸡米花,小吃,12,6,阴,否,望京店
2025-05-09,华夫饼,小吃,15,5,阴,否,望京店
2025-05-09,吐司,小吃,8,1,阴,否,望京店
2025-05-09,经典奶茶,奶茶,12,18,阴,否,中关村店
2025-05-09,珍珠奶茶,奶茶,15,31,阴,否,中关村店
2025-05-09,芋泥奶茶,奶茶,18,14,阴,否,中关村店
2025-05-09,黑糖鹿丸奶茶,奶茶,20,25,阴,否,中关村店
2025-05-09,椰椰奶茶,奶茶,19,25,阴,否,中关村店
2025-05-09,柠檬绿茶,果茶,10,18,阴,否,中关村店
2025-05-09,满杯西柚,果茶,16,16,阴,否,中关村店
2025-05-09,杨枝甘露,果茶,22,13,阴,否,中关村店
2025-05-09,百香果绿茶,果茶,13,11,阴,否,中关村店
2025-05-09,霸气芝士葡萄,果茶,24,13,阴,否,中关村店
2025-05-09,美式咖啡,咖啡,15,9,阴,否,中关村店
2025-05-09,拿铁,咖啡,18,11,阴,否,中关村店
2025-05-09,生椰拿铁,咖啡,22,17,阴,否,中关村店
2025-05-09,摩卡,咖啡,20,9,阴,否,中关村店
2025-05-09,薯条,小吃,10,8,阴,否,中关村店
2025-05-09,鸡米花,小吃,12,4,阴,否,中关村店
2025-05-09,华夫饼,小吃,15,8,阴,否,中关村店
2025-05-09,吐司,小吃,8,11,阴,否,中关村店
2025-05-10,经典奶茶,奶茶,12,40,阴,是,望京店
2025-05-10,珍珠奶茶,奶茶,15,34,阴,是,望京店
2025-05-10,芋泥奶茶,奶茶,18,37,阴,是,望京店
2025-05-10,黑糖鹿丸奶茶,奶茶,20,38,阴,是,望京店
2025-05-10,椰椰奶茶,奶茶,19,39,阴,是,望京店
2025-05-10,柠檬绿茶,果茶,10,20,阴,是,望京店
2025-05-10,满杯西柚,果茶,16,31,阴,是,望京店
2025-05-10,杨枝甘露,果茶,22,25,阴,是,望京店
2025-05-10,百香果绿茶,果茶,13,23,阴,是,望京店
2025-05-10,霸气芝士葡萄,果茶,24,25,阴,是,望京店
2025-05-10,美式咖啡,咖啡,15,26,阴,是,望京店
2025-05-10,拿铁,咖啡,18,20,阴,是,望京店
2025-05-10,生椰拿铁,咖啡,22,12,阴,是,望京店
2025-05-10,摩卡,咖啡,20,15,阴,是,望京店
2025-05-10,薯条,小吃,10,8,阴,是,望京店
2025-05-10,鸡米花,小吃,12,9,阴,是,望京店
2025-05-10,华夫饼,小吃,15,13,阴,是,望京店
2025-05-10,吐司,小吃,8,5,阴,是,望京店
2025-05-10,经典奶茶,奶茶,12,19,阴,是,中关村店
2025-05-10,珍珠奶茶,奶茶,15,33,阴,是,中关村店
2025-05-10,芋泥奶茶,奶茶,18,23,阴,是,中关村店
2025-05-10,黑糖鹿丸奶茶,奶茶,20,21,阴,是,中关村店
2025-05-10,椰椰奶茶,奶茶,19,33,阴,是,中关村店
2025-05-10,柠檬绿茶,果茶,10,24,阴,是,中关村店
2025-05-10,满杯西柚,果茶,16,27,阴,是,中关村店
2025-05-10,杨枝甘露,果茶,22,10,阴,是,中关村店
2025-05-10,百香果绿茶,果茶,13,26,阴,是,中关村店
2025-05-10,霸气芝士葡萄,果茶,24,35,阴,是,中关村店
2025-05-10,美式咖啡,咖啡,15,11,阴,是,中关村店
2025-05-10,拿铁,咖啡,18,24,阴,是,中关村店
2025-05-10,生椰拿铁,咖啡,22,16,阴,是,中关村店
2025-05-10,摩卡,咖啡,20,7,阴,是,中关村店
2025-05-10,薯条,小吃,10,12,阴,是,中关村店
2025-05-10,鸡米花,小吃,12,15,阴,是,中关村店
2025-05-10,华夫饼,小吃,15,13,阴,是,中关村店
2025-05-10,吐司,小吃,8,18,阴,是,中关村店
2025-05-11,经典奶茶,奶茶,12,27,阴,是,望京店
2025-05-11,珍珠奶茶,奶茶,15,26,阴,是,望京店
2025-05-11,芋泥奶茶,奶茶,18,35,阴,是,望京店
2025-05-11,黑糖鹿丸奶茶,奶茶,20,18,阴,是,望京店
2025-05-11,椰椰奶茶,奶茶,19,33,阴,是,望京店
2025-05-11,柠檬绿茶,果茶,10,29,阴,是,望京店
2025-05-11,满杯西柚,果茶,16,21,阴,是,望京店
2025-05-11,杨枝甘露,果茶,22,27,阴,是,望京店
2025-05-11,百香果绿茶,果茶,13,30,阴,是,望京店
2025-05-11,霸气芝士葡萄,果茶,24,28,阴,是,望京店
2025-05-11,美式咖啡,咖啡,15,22,阴,是,望京店
2025-05-11,拿铁,咖啡,18,6,阴,是,望京店
2025-05-11,生椰拿铁,咖啡,22,22,阴,是,望京店
2025-05-11,摩卡,咖啡,20,15,阴,是,望京店
2025-05-11,薯条,小吃,10,12,阴,是,望京店
2025-05-11,鸡米花,小吃,12,5,阴,是,望京店
2025-05-11,华夫饼,小吃,15,12,阴,是,望京店
2025-05-11,吐司,小吃,8,9,阴,是,望京店
2025-05-11,经典奶茶,奶茶,12,28,阴,是,中关村店
2025-05-11,珍珠奶茶,奶茶,15,30,阴,是,中关村店
2025-05-11,芋泥奶茶,奶茶,18,32,阴,是,中关村店
2025-05-11,黑糖鹿丸奶茶,奶茶,20,19,阴,是,中关村店
2025-05-11,椰椰奶茶,奶茶,19,19,阴,是,中关村店
2025-05-11,柠檬绿茶,果茶,10,28,阴,是,中关村店
2025-05-11,满杯西柚,果茶,16,22,阴,是,中关村店
2025-05-11,杨枝甘露,果茶,22,16,阴,是,中关村店
2025-05-11,百香果绿茶,果茶,13,15,阴,是,中关村店
2025-05-11,霸气芝士葡萄,果茶,24,9,阴,是,中关村店
2025-05-11,美式咖啡,咖啡,15,15,阴,是,中关村店
2025-05-11,拿铁,咖啡,18,9,阴,是,中关村店
2025-05-11,生椰拿铁,咖啡,22,9,阴,是,中关村店
2025-05-11,摩卡,咖啡,20,11,阴,是,中关村店
2025-05-11,薯条,小吃,10,14,阴,是,中关村店
2025-05-11,鸡米花,小吃,12,14,阴,是,中关村店
2025-05-11,华夫饼,小吃,15,15,阴,是,中关村店
2025-05-11,吐司,小吃,8,12,阴,是,中关村店
2025-05-12,经典奶茶,奶茶,12,35,晴,否,望京店
2025-05-12,珍珠奶茶,奶茶,15,21,晴,否,望京店
2025-05-12,芋泥奶茶,奶茶,18,19,晴,否,望京店
2025-05-12,黑糖鹿丸奶茶,奶茶,20,19,晴,否,望京店
2025-05-12,椰椰奶茶,奶茶,19,14,晴,否,望京店
2025-05-12,柠檬绿茶,果茶,10,30,晴,否,望京店
2025-05-12,满杯西柚,果茶,16,22,晴,否,望京店
2025-05-12,杨枝甘露,果茶,22,13,晴,否,望京店
2025-05-12,百香果绿茶,果茶,13,30,晴,否,望京店
2025-05-12,霸气芝士葡萄,果茶,24,14,晴,否,望京店
2025-05-12,美式咖啡,咖啡,15,22,晴,否,望京店
2025-05-12,拿铁,咖啡,18,15,晴,否,望京店
2025-05-12,生椰拿铁,咖啡,22,19,晴,否,望京店
2025-05-12,摩卡,咖啡,20,17,晴,否,望京店
2025-05-12,薯条,小吃,10,17,晴,否,望京店
2025-05-12,鸡米花,小吃,12,4,晴,否,望京店
2025-05-12,华夫饼,小吃,15,13,晴,否,望京店
2025-05-12,吐司,小吃,8,14,晴,否,望京店
2025-05-12,经典奶茶,奶茶,12,17,晴,否,中关村店
2025-05-12,珍珠奶茶,奶茶,15,32,晴,否,中关村店
2025-05-12,芋泥奶茶,奶茶,18,17,晴,否,中关村店
2025-05-12,黑糖鹿丸奶茶,奶茶,20,29,晴,否,中关村店
2025-05-12,椰椰奶茶,奶茶,19,25,晴,否,中关村店
2025-05-12,柠檬绿茶,果茶,10,20,晴,否,中关村店
2025-05-12,满杯西柚,果茶,16,24,晴,否,中关村店
2025-05-12,杨枝甘露,果茶,22,13,晴,否,中关村店
2025-05-12,百香果绿茶,果茶,13,16,晴,否,中关村店
2025-05-12,霸气芝士葡萄,果茶,24,26,晴,否,中关村店
2025-05-12,美式咖啡,咖啡,15,12,晴,否,中关村店
2025-05-12,拿铁,咖啡,18,20,晴,否,中关村店
2025-05-12,生椰拿铁,咖啡,22,19,晴,否,中关村店
2025-05-12,摩卡,咖啡,20,14,晴,否,中关村店
2025-05-12,薯条,小吃,10,12,晴,否,中关村店
2025-05-12,鸡米花,小吃,12,12,晴,否,中关村店
